FSCL_YR,MINC,MINE,DepartmentNumber-Numéro-de-Ministère,DEPT_EN_DESC,RCPNT_CLS_EN_DESC,RCPNT_NML_EN_DESC,TOT_CY_XPND_AMT,AGRG_PYMT_AMT
2015/2016,02,"Agriculture and Agri-Food",001,"Agriculture and Agri-Food","(S) Canadian Cattlemen's Association Legacy Fund","Recoveries (1 recipient)",0,-205473
2015/2016,02,"Agriculture and Agri-Food",001,"Agriculture and Agri-Food","(S) Canadian Cattlemen's Association Legacy Fund",,-205473,0
2015/2016,02,"Agriculture and Agri-Food",001,"Agriculture and Agri-Food","(S) Class grant payments for the Farm Income program","Recoveries (1 recipient)",0,-95
2015/2016,02,"Agriculture and Agri-Food",001,"Agriculture and Agri-Food","(S) Class grant payments for the Farm Income program",,-95,0
2015/2016,02,"Agriculture and Agri-Food",001,"Agriculture and Agri-Food","(S) Class grant payments for the Transitional Industry Support program","Recoveries (19 recipients)",0,-2021
2015/2016,02,"Agriculture and Agri-Food",001,"Agriculture and Agri-Food","(S) Class grant payments for the Transitional Industry Support program",,-2021,0
2015/2016,02,"Agriculture and Agri-Food",001,"Agriculture and Agri-Food","(S) Contribution payments for the Agricultural Disaster Relief program/AgriRecovery","Province of British Columbia, Kelowna, British Columbia",0,408152
2015/2016,02,"Agriculture and Agri-Food",001,"Agriculture and Agri-Food","(S) Contribution payments for the Agricultural Disaster Relief program/AgriRecovery","Province of Nova Scotia, Halifax, Nova Scotia",0,444180
2015/2016,02,"Agriculture and Agri-Food",001,"Agriculture and Agri-Food","(S) Contribution payments for the Agricultural Disaster Relief program/AgriRecovery","Recoveries (1 recipient)",0,-755764
2015/2016,02,"Agriculture and Agri-Food",001,"Agriculture and Agri-Food","(S) Contribution payments for the Agricultural Disaster Relief program/AgriRecovery",,96568,0
2015/2016,02,"Agriculture and Agri-Food",001,"Agriculture and Agri-Food","(S) Contribution payments for the AgriInsurance program","Agricorp, Toronto, Ontario",0,54550571
2015/2016,02,"Agriculture and Agri-Food",001,"Agriculture and Agri-Food","(S) Contribution payments for the AgriInsurance program","Agriculture Financial Services Corporation, Lacombe, Alberta",0,89857522
2015/2016,02,"Agriculture and Agri-Food",001,"Agriculture and Agri-Food","(S) Contribution payments for the AgriInsurance program","Nova Scotia Crop and Livestock Insurance Commission, Truro, Nova Scotia",0,1332774
2015/2016,02,"Agriculture and Agri-Food",001,"Agriculture and Agri-Food","(S) Contribution payments for the AgriInsurance program","Prince Edward Island Agricultural Insurance Corporation, Charlottetown, Prince Edward Island",0,8162900
2015/2016,02,"Agriculture and Agri-Food",001,"Agriculture and Agri-Food","(S) Contribution payments for the AgriInsurance program","Province of Alberta, Edmonton, Alberta",0,106378391
2015/2016,02,"Agriculture and Agri-Food",001,"Agriculture and Agri-Food","(S) Contribution payments for the AgriInsurance program","Province of British Columbia, Kelowna, British Columbia",0,16352904
2015/2016,02,"Agriculture and Agri-Food",001,"Agriculture and Agri-Food","(S) Contribution payments for the AgriInsurance program","Province of Manitoba, Portage la Prairie, Manitoba",0,89505528
2015/2016,02,"Agriculture and Agri-Food",001,"Agriculture and Agri-Food","(S) Contribution payments for the AgriInsurance program","Province of New Brunswick, Fredericton, New Brunswick",0,3022369
2015/2016,02,"Agriculture and Agri-Food",001,"Agriculture and Agri-Food","(S) Contribution payments for the AgriInsurance program","Province of Newfoundland and Labrador, St John's, Newfoundland and Labrador",0,218111
2015/2016,02,"Agriculture and Agri-Food",001,"Agriculture and Agri-Food","(S) Contribution payments for the AgriInsurance program","Province of Ontario, Toronto, Ontario",0,1521442
2015/2016,02,"Agriculture and Agri-Food",001,"Agriculture and Agri-Food","(S) Contribution payments for the AgriInsurance program","Province of Prince Edward Island, Charlottetown, Prince Edward Island",0,753832
2015/2016,02,"Agriculture and Agri-Food",001,"Agriculture and Agri-Food","(S) Contribution payments for the AgriInsurance program","Province of Quebec, Québec, Quebec",0,28097505
2015/2016,02,"Agriculture and Agri-Food",001,"Agriculture and Agri-Food","(S) Contribution payments for the AgriInsurance program","Province of Saskatchewan, Regina, Saskatchewan",0,36455793
2015/2016,02,"Agriculture and Agri-Food",001,"Agriculture and Agri-Food","(S) Contribution payments for the AgriInsurance program","Saskatchewan Crop Insurance Corporation, Melville, Saskatchewan",0,167910013
2015/2016,02,"Agriculture and Agri-Food",001,"Agriculture and Agri-Food","(S) Contribution payments for the AgriInsurance program","Transfer Payments under $100,000 (1 recipient)",0,29171
2015/2016,02,"Agriculture and Agri-Food",001,"Agriculture and Agri-Food","(S) Contribution payments for the AgriInsurance program",,604148826,0
2015/2016,02,"Agriculture and Agri-Food",001,"Agriculture and Agri-Food","(S) Contribution payments for the AgriInvest program","Province of Quebec, Québec, Quebec",0,17915115
2015/2016,02,"Agriculture and Agri-Food",001,"Agriculture and Agri-Food","(S) Contribution payments for the AgriInvest program",,17915115,0
2015/2016,02,"Agriculture and Agri-Food",001,"Agriculture and Agri-Food","(S) Contribution payments for the AgriStability program","Agricorp, Toronto, Ontario",0,66798405
2015/2016,02,"Agriculture and Agri-Food",001,"Agriculture and Agri-Food","(S) Contribution payments for the AgriStability program","Agriculture Financial Services Corporation, Lacombe, Alberta",0,29554101
2015/2016,02,"Agriculture and Agri-Food",001,"Agriculture and Agri-Food","(S) Contribution payments for the AgriStability program","Prince Edward Island Agricutural Insurance Corporation, Charlottetown, Prince Edward Island",0,4297507
2015/2016,02,"Agriculture and Agri-Food",001,"Agriculture and Agri-Food","(S) Contribution payments for the AgriStability program","Province of Quebec, Québec, Quebec",0,17987111
2015/2016,02,"Agriculture and Agri-Food",001,"Agriculture and Agri-Food","(S) Contribution payments for the AgriStability program","Recoveries (2,065 recipients)",0,-6232481
2015/2016,02,"Agriculture and Agri-Food",001,"Agriculture and Agri-Food","(S) Contribution payments for the AgriStability program","Saskatchewan Crop Insurance Corporation, Melville, Saskatchewan",0,44092227
2015/2016,02,"Agriculture and Agri-Food",001,"Agriculture and Agri-Food","(S) Contribution payments for the AgriStability program",,156496870,0
2015/2016,02,"Agriculture and Agri-Food",001,"Agriculture and Agri-Food","(S) Contribution payments for the Canadian Agricultural Income Stabilization program Inventory Transition Initiative","Recoveries (2 recipients)",0,-389586
2015/2016,02,"Agriculture and Agri-Food",001,"Agriculture and Agri-Food","(S) Contribution payments for the Canadian Agricultural Income Stabilization program Inventory Transition Initiative",,-389586,0
2015/2016,02,"Agriculture and Agri-Food",001,"Agriculture and Agri-Food","(S) Contributions for agricultural risk management - Enhanced Spring Credit Advance program Business Risk Management","Recoveries (309 recipients)",0,-380878
2015/2016,02,"Agriculture and Agri-Food",001,"Agriculture and Agri-Food","(S) Contributions for agricultural risk management - Enhanced Spring Credit Advance program Business Risk Management",,-380878,0
2015/2016,02,"Agriculture and Agri-Food",001,"Agriculture and Agri-Food","(S) Contributions in support of the Assistance to the Pork Industry Initiative","Recoveries (8 recipients)",0,-53754367
2015/2016,02,"Agriculture and Agri-Food",001,"Agriculture and Agri-Food","(S) Contributions in support of the Assistance to the Pork Industry Initiative",,-53754367,0
2015/2016,02,"Agriculture and Agri-Food",001,"Agriculture and Agri-Food","(S) Grant payments for the AgriInvest Kickstart program","Recoveries (50 recipients)",0,-36697
2015/2016,02,"Agriculture and Agri-Food",001,"Agriculture and Agri-Food","(S) Grant payments for the AgriInvest Kickstart program",,-36697,0
2015/2016,02,"Agriculture and Agri-Food",001,"Agriculture and Agri-Food","(S) Grant payments for the AgriInvest program","Recoveries (820 recipients)",0,-1423820
2015/2016,02,"Agriculture and Agri-Food",001,"Agriculture and Agri-Food","(S) Grant payments for the AgriInvest program","Transfer Payments under $100,000 (87,779 recipients)",0,144433915
2015/2016,02,"Agriculture and Agri-Food",001,"Agriculture and Agri-Food","(S) Grant payments for the AgriInvest program",,143010095,0
2015/2016,02,"Agriculture and Agri-Food",001,"Agriculture and Agri-Food","(S) Grant payments for the AgriStability program","Ambercreek Fur Farm Ltd, Clementsvale, Nova Scotia",0,100614
