FSCL_YR,MINE,MINF,Provision_EN,Provision_FR,Description_EN,Description_FR,Ttl-min-net-exp_Ttl-dép-min-nettes,Cons-spec-purpose-accnts_Cmpts-fins-dét-cons,Accrual-and-other-adjs_Redressements-courus-et-autres,Cons-Crown-corps-and-other-ents_Socs-d'État-et-autres-ents-cons,Tax-credits-and-repayments_Crédits-et-remboursements-fiscaux,Internal-expenses_Charges-internes
2023/2024,"Agriculture and Agri-Food","Agriculture et Agroalimentaire",,,"Other transfer payments","Autres paiements de transfert",3277275,169981,853244,0,0,0
2023/2024,"Atlantic Canada Opportunities Agency","Agence de promotion économique du Canada atlantique",,,"Other transfer payments","Autres paiements de transfert",396799,0,-113103,0,0,0
2023/2024,"Canadian Heritage","Patrimoine canadien",,,"Other transfer payments","Autres paiements de transfert",1870080,0,-21014,0,0,0
2023/2024,"Crown-Indigenous Relations and Northern Affairs","Relations Couronne-Autochtones et Affaires du Nord",,,"Other transfer payments","Autres paiements de transfert",6235368,0,3352763,0,0,0
2023/2024,"Economic Development Agency of Canada for the Regions of Quebec","Agence de développement économique du Canada pour les régions du Québec",,,"Other transfer payments","Autres paiements de transfert",507176,0,-195889,0,0,0
2023/2024,"Employment and Workforce Development","Emploi et Développement de la main-d'œuvre",,,"Other transfer payments","Autres paiements de transfert",10021916,187408,4265364,0,0,0
2023/2024,"Environment and Climate Change","Environnement et Changement climatique",,,"Other transfer payments","Autres paiements de transfert",963803,0,-16125,0,0,0
2023/2024,Finance,Finances,,,"Other transfer payments","Autres paiements de transfert",596297,0,-1200403,0,0,0
2023/2024,"Fisheries, Oceans and the Canadian Coast Guard","Pêches, Océans et Garde côtière canadienne",,,"Other transfer payments","Autres paiements de transfert",591513,0,-26485,0,0,0
2023/2024,"Global Affairs","Affaires mondiales",,,"Other transfer payments","Autres paiements de transfert",5818929,0,-593523,0,0,0
2023/2024,Health,Santé,,,"Other transfer payments","Autres paiements de transfert",2875225,0,-40947,0,0,0
2023/2024,"Immigration, Refugees and Citizenship","Immigration, Réfugiés et Citoyenneté",,,"Other transfer payments","Autres paiements de transfert",2993638,0,-12198,0,0,0
2023/2024,"Indigenous Services","Services aux Autochtones",,,"Other transfer payments","Autres paiements de transfert",19711336,0,-88780,13019,0,0
2023/2024,"Infrastructure and Communities","Infrastructure et Collectivités",,,"Other transfer payments","Autres paiements de transfert",4930969,0,5458414,0,0,0
2023/2024,"Innovation, Science and Industry","Innovation, Sciences et Industrie",,,"Other transfer payments","Autres paiements de transfert",7068773,0,-333072,135433,0,0
2023/2024,Justice,Justice,,,"Other transfer payments","Autres paiements de transfert",682007,0,-10718,0,0,0
2023/2024,"National Defence","Défense nationale",,,"Other transfer payments","Autres paiements de transfert",1125459,0,5227,0,0,0
2023/2024,"National Revenue","Revenu national",,,"Other transfer payments","Autres paiements de transfert",395345,0,0,0,8283859,0
2023/2024,"Natural Resources","Ressources naturelles",,,"Other transfer payments","Autres paiements de transfert",2451173,0,-58717,0,0,0
2023/2024,"Office of the Governor General's Secretary","Bureau du secrétaire du gouverneur général",,,"Other transfer payments","Autres paiements de transfert",952,0,-952,0,0,0
2023/2024,Parliament,Parlement,,,"Other transfer payments","Autres paiements de transfert",1898,0,0,0,0,0
2023/2024,"Prairies and Canadian Northern Economic Development","Développement économique des Prairies et du Nord canadien",,,"Other transfer payments","Autres paiements de transfert",389575,0,-92783,0,0,0
2023/2024,"Privy Council","Conseil privé",,,"Other transfer payments","Autres paiements de transfert",154584,0,-67052,0,0,0
2023/2024,"Public Safety, Democratic Institutions and Intergovernmental Affairs","Sécurité publique, Institutions démocratiques et Affaires  intergouvernementales",,,"Other transfer payments","Autres paiements de transfert",1929606,0,-170567,0,0,0
2023/2024,"Public Services and Procurement","Services publics et Approvisionnement",,,"Other transfer payments","Autres paiements de transfert",51293,0,-51289,0,0,0
2023/2024,Transport,Transports,,,"Other transfer payments","Autres paiements de transfert",1652903,0,-69719,0,0,0
2023/2024,"Treasury Board","Conseil du Trésor",,,"Other transfer payments","Autres paiements de transfert",1039,0,-310,0,0,0
2023/2024,"Veterans Affairs","Anciens Combattants",,,"Other transfer payments","Autres paiements de transfert",4636714,0,-4586668,0,0,0
2023/2024,"Women, Gender Equality and Youth","Femmes, Égalité des genres et Jeunesse",,,"Other transfer payments","Autres paiements de transfert",249298,0,-1108,0,0,0
2023/2024,,,"Provision for valuation and other items","Provision pour évaluation et autres éléments","Other transfer payments","Autres paiements de transfert",0,0,-183413,0,0,0
