FSCL_YR,MINC,MINE,MINF,DepartmentNumber-Numéro-de-Ministère,DEPT_EN_DESC,DEPT_FR_DESC,RCPNT_CLS_EN_DESC,RCPNT_CLS_FR_DESC,RCPNT_NML_EN_DESC,RCPNT_NML_FR_DESC,CTY_EN_NM,CTY_FR_NM,PROVTER_EN,PROVTER_FR,CNTRY_EN_NM,CNTRY_FR_NM,TOT_CY_XPND_AMT,AGRG_PYMT_AMT
2023/2024,14,"Innovation, Science and Industry","Innovation, Sciences et Industrie",035,National Research Council of Canada,Conseil national de recherches du Canada,Industrial Research Assistance Program - Contributions to Firms,Programme d'aide à la recherche industrielle - Contributions aux entreprises,Bowhead Design Corp,Bowhead Design Corp,Calgary,Calgary,Alberta,Alberta,,,0,155000
2023/2024,11,Health,Santé,148,Public Health Agency of Canada,Agence de la santé publique du Canada,"Grants to individuals and organizations in support of health promotion projects in the areas of building community capacity, stimulating knowledge development and dissemination, and partnership building/intersectoral collaboration","Subventions à des personnes et à des organismes pour appuyer des projets de promotion de la santé dans les domaines de renforcement des capacités communautaires, de stimulation du développement et de la transmission des connaissances, et de l'établissement de partenariats et collaboration intersectorielle",DAM Develop Assist Mentor,DAM Develop Assist Mentor,Mississauga,Mississauga,Ontario,Ontario,,,0,125000
2023/2024,14,"Innovation, Science and Industry","Innovation, Sciences et Industrie",033,Department of Industry,Ministère de l'Industrie,"(S) Contributions to the CIFAR - Pan-Canadian Artificial Intelligence Strategy (Budget Implementation Act, 2017, No. 1)",(S) Contributions à l'ICRA pour la stratégie pancanadienne en matière d'intelligence artificielle (Loi no 1 d'exécution du budget de 2017),,,,,,,,,15981566,0
2023/2024,4,Canadian Heritage,Patrimoine canadien,135,Department of Canadian Heritage,Ministère du Patrimoine canadien,Contributions for the Hosting Program,Contributions au Programme d'accueil,Triathlon Canada,Triathlon Canada,Victoria,Victoria,British Columbia,Colombie-Britannique,,,0,280000
2023/2024,12,Employment and Workforce Development,Emploi et Développement de la main-d'oeuvre,014,Department of Employment and Social Development,Ministère de l'Emploi et du Développement social,"Payments to provinces, territories, municipalities, other public bodies, organizations, groups, communities, employers and individuals for the provision of training and/or work experience, the mobilization of community resources, and human resource planning and adjustment measures necessary for the efficient functioning of the Canadian labour market","Paiements aux provinces, aux territoires, aux municipalités, aux autres organismes publics, aux organisations, aux groupes, aux collectivités, aux employeurs et aux particuliers afin de pourvoir à la formation ou à l'expérience de travail, à la mobilisation des ressources communautaires et aux mesures de planification et d'adaptation de ressources humaines nécessaires au fonctionnement efficace du marché du travail canadien",Green Acres Camp,Green Acres Camp,Markham,Markham,Ontario,Ontario,,,0,107240
2023/2024,22,Transport,Transports,034,Department of Transport,Ministère des Transports,Airports Capital Assistance Program,Programme d'aide aux immobilisations aéroportuaires,City of Lethbridge,Ville de Lethbridge,Lethbridge,Lethbridge,Alberta,Alberta,,,0,124545
2023/2024,31,Indigenous Services,Services aux Autochtones,191,Department of Indigenous Services,Ministère des Services aux Autochtones,Contributions to support the First Nations Post-Secondary Education Strategy,Contributions pour appuyer la Stratégie d'éducation postsecondaire des Premières Nations,Dene Tha' Band,Dene Tha' Band,Chateh,Chateh,Alberta,Alberta,,,0,1433528
2023/2024,31,Indigenous Services,Services aux Autochtones,191,Department of Indigenous Services,Ministère des Services aux Autochtones,Contributions to provide income support to on-reserve residents and Status Indians in the Yukon Territory,Contributions visant à fournir un soutien au revenu aux personnes qui habitent dans les réserves indiennes et aux Indiens inscrits du territoire du Yukon,Tribal Resources Investment Corporation,Tribal Resources Investment Corporation,Prince Rupert,Prince Rupert,British Columbia,Colombie-Britannique,,,0,750000
2023/2024,4,Canadian Heritage,Patrimoine canadien,135,Department of Canadian Heritage,Ministère du Patrimoine canadien,Contributions to the Canada Arts Training Fund,Contributions pour le Fonds du Canada pour la formation dans le secteur des arts,The Royal Winnipeg Ballet,The Royal Winnipeg Ballet,Winnipeg,Winnipeg,Manitoba,Manitoba,,,0,775000
2023/2024,11,Health,Santé,148,Public Health Agency of Canada,Agence de la santé publique du Canada,"Contributions to individuals and organizations to support health promotion projects in the areas of building community capacity, stimulating knowledge development and dissemination, and partnership building/intersectoral collaboration","Contributions à des personnes et à des organisations pour appuyer des projets de promotion de la santé dans les domaines du renforcement des capacités communautaires, de la stimulation du développement et de la transmission des connaissances, et de l'établissement de partenariats et de collaborations intersectorielles",University of Prince Edward Island,University of Prince Edward Island,Charlottetown,Charlottetown,Prince Edward Island,Île-du-Prince-Édouard,,,0,234000
