FSCL_YR,MINC,MINE,MINF,DepartmentNumber-Numéro-de-Ministère,DEPT_EN_DESC,DEPT_FR_DESC,PYMT_TYP_EN_DESC,PYMT_TYP_FR_DESC,AVLBL_PREV_YR_AMT,MAIN_ESTMT_AMT,SPLMTRY_ESTMT_AMT,ADJ_AMT,WRNT_AMT,TRNFR_AMT,TP_EN_DESC,TP_FR_DESC,TP_DTL_EN_DESC,TP_DTL_FR_DESC,CRNT_YR_USED_AMT,C_VRNC_AMT,AVLBL_SBSQT_YR_AMT,NET_XPND_PY_AMT
2014/2015,04,"Canadian Heritage","Patrimoine canadien",135,"Canadian Heritage","Patrimoine canadien",Grant,Subvention,0,8300000,0,-6475823,0,0,"Grants to the Canada Book Fund","Subventions au Fonds du livre du Canada",,,1824174,3,0,1708238
2014/2015,04,"Canadian Heritage","Patrimoine canadien",135,"Canadian Heritage","Patrimoine canadien",Grant,Subvention,0,8000000,0,-1389315,0,0,"Grant to TV5 Monde","Subvention à TV5 Monde",,,6599119,11566,0,7519570
2014/2015,04,"Canadian Heritage","Patrimoine canadien",135,"Canadian Heritage","Patrimoine canadien",Grant,Subvention,0,8000000,0,-1989113,0,0,"Grants in support of the Celebration and Commemoration program","Subventions pour soutenir le Programme célébration et commémoration",,,5662564,348323,0,5560248
2014/2015,04,"Canadian Heritage","Patrimoine canadien",135,"Canadian Heritage","Patrimoine canadien",Grant,Subvention,0,5599842,0,-5080483,0,0,"Grants in support of the Enhancement of Official Languages Program","Subventions à l'appui du programme Mise en valeur des langues officielles",,,519359,0,0,529654
2014/2015,04,"Canadian Heritage","Patrimoine canadien",135,"Canadian Heritage","Patrimoine canadien",Grant,Subvention,0,4663680,0,-1702838,0,0,"Grants under the Museums Assistance Program","Subventions en vertu du Programme d'aide aux musées",,,2944575,16267,0,2530453
2014/2015,04,"Canadian Heritage","Patrimoine canadien",135,"Canadian Heritage","Patrimoine canadien",Grant,Subvention,0,3000000,0,-1949010,0,0,"Grants to the Canada Cultural Spaces Fund","Subventions pour le Fonds du Canada pour les espaces culturels",,,1050990,0,0,1471027
2014/2015,04,"Canadian Heritage","Patrimoine canadien",135,"Canadian Heritage","Patrimoine canadien",Grant,Subvention,0,2000000,0,-2000000,0,0,"Grants to the Canada Music Fund","Subventions au Fonds de la musique du Canada",,,0,0,0,0
2014/2015,04,"Canadian Heritage","Patrimoine canadien",135,"Canadian Heritage","Patrimoine canadien",Grant,Subvention,0,1340000,0,-1228896,0,0,"Grants to support the Aboriginal peoples' program","Subventions à l'appui du Programme des Autochtones",,,111104,0,0,100310
2014/2015,04,"Canadian Heritage","Patrimoine canadien",135,"Canadian Heritage","Patrimoine canadien",Grant,Subvention,0,1150060,0,-1010060,0,0,"Grants in support of the Canada History Fund","Subventions à l'appui du Fonds pour l'histoire du Canada",,,140000,0,0,0
2014/2015,04,"Canadian Heritage","Patrimoine canadien",135,"Canadian Heritage","Patrimoine canadien",Grant,Subvention,0,147372,0,0,0,0,"Grants to the Lieutenant Governors of the provinces of Canada towards defraying the costs incurred in the exercise of their duties: Quebec","Subventions aux lieutenants-gouverneurs de chaque province du Canada à titre d'indemnités pour les frais engagés dans l'exercice de leurs fonctions",Quebec,Québec,147372,0,0,147372
