FSCL_YR,MINE,DEPT_EN_DESC,RCPNT_CLS_EN_DESC,RCPNT_NML_EN_DESC,AGRG_PYMT_AMT
2008/2009,"AGRICULTURE AND AGRI-FOOD","AGRICULTURE AND AGRI-FOOD","Other transfer payments to persons","Aliments Breton Inc Saint-Bernard Que",274691
2008/2009,"AGRICULTURE AND AGRI-FOOD","AGRICULTURE AND AGRI-FOOD","Other transfer payments to persons","Atlantic Turfgrass Research Foundation Inc Truro NS",131498
2008/2009,"AGRICULTURE AND AGRI-FOOD","AGRICULTURE AND AGRI-FOOD","Other transfer payments to persons","Bow River Irrigation District Vauxhall Alta",625033
2008/2009,"AGRICULTURE AND AGRI-FOOD","AGRICULTURE AND AGRI-FOOD","Other transfer payments to persons","County of Lethbridge Rural Water Association Ltd Lethbridge Alta",144245
2008/2009,"AGRICULTURE AND AGRI-FOOD","AGRICULTURE AND AGRI-FOOD","Other transfer payments to persons","Deerwood Soil and Water Miami Man",174572
2008/2009,"AGRICULTURE AND AGRI-FOOD","AGRICULTURE AND AGRI-FOOD","Other transfer payments to persons","Ferme Bel Porcs Ltée Saint-Anselme Que",147192
2008/2009,"AGRICULTURE AND AGRI-FOOD","AGRICULTURE AND AGRI-FOOD","Other transfer payments to persons","Highway 41 Water Utility Aberdeen Sask",331081
2008/2009,"AGRICULTURE AND AGRI-FOOD","AGRICULTURE AND AGRI-FOOD","Other transfer payments to persons","Keystone Vegetable Producers Association Portage La Prairie Man",418532
2008/2009,"AGRICULTURE AND AGRI-FOOD","AGRICULTURE AND AGRI-FOOD","Other transfer payments to persons","Les Élevages Salvail Nord Inc Ange-Gardien Que",230245
2008/2009,"AGRICULTURE AND AGRI-FOOD","AGRICULTURE AND AGRI-FOOD","Other transfer payments to persons","Maple Leaf Agri-Farms Landmark Man",500000
2008/2009,"AGRICULTURE AND AGRI-FOOD","AGRICULTURE AND AGRI-FOOD","Other transfer payments to persons","Milk River Watershed Council Canada Milk River Alta",109950
2008/2009,"AGRICULTURE AND AGRI-FOOD","AGRICULTURE AND AGRI-FOOD","Other transfer payments to persons","Nova Scotia Federation of Agriculture Truro NS",349500
2008/2009,"AGRICULTURE AND AGRI-FOOD","AGRICULTURE AND AGRI-FOOD","Other transfer payments to persons","Prince Edward Island Soil and Crop Improvement Association Charlottetown PEI",139706
2008/2009,"AGRICULTURE AND AGRI-FOOD","AGRICULTURE AND AGRI-FOOD","Other transfer payments to persons","Profid'Or Coopérative Agricole Joliette Que",103589
2008/2009,"AGRICULTURE AND AGRI-FOOD","AGRICULTURE AND AGRI-FOOD","Other transfer payments to persons","Puratone Corporation Niverville Man",128622
2008/2009,"AGRICULTURE AND AGRI-FOOD","AGRICULTURE AND AGRI-FOOD","Other transfer payments to persons","R Robitaille et Fils Inc Farnham Que",198115
2008/2009,"AGRICULTURE AND AGRI-FOOD","AGRICULTURE AND AGRI-FOOD","Other transfer payments to persons","SHL Rural Pipeline Association Lake Lenore Sask",267831
2008/2009,"AGRICULTURE AND AGRI-FOOD","AGRICULTURE AND AGRI-FOOD","Other transfer payments to persons","South Norfolk-Treherne Community Development Corporation Treherne Man",226650
2008/2009,"AGRICULTURE AND AGRI-FOOD","AGRICULTURE AND AGRI-FOOD","Other transfer payments to persons","Sunrise Greenhouses Ltd Vineland Station Ont",126812
2008/2009,"AGRICULTURE AND AGRI-FOOD","AGRICULTURE AND AGRI-FOOD","Other transfer payments to persons","Viterra Inc Livestock Feed and Services Division Okotoks Alta",193467
2008/2009,"AGRICULTURE AND AGRI-FOOD","AGRICULTURE AND AGRI-FOOD","Other transfer payments to persons","Westbrook Greenhouses Limited Grimsby Ont",636997
2008/2009,"AGRICULTURE AND AGRI-FOOD","AGRICULTURE AND AGRI-FOOD","Agricultural subsidies","3146600 Manitoba Ltd New Bothwell Man",218861
2008/2009,"AGRICULTURE AND AGRI-FOOD","AGRICULTURE AND AGRI-FOOD","Agricultural subsidies","3529941 Manitoba Ltd Steinbach Man",900000
2008/2009,"AGRICULTURE AND AGRI-FOOD","AGRICULTURE AND AGRI-FOOD","Agricultural subsidies","4119593 Manitoba Ltd Plumas Man",111391
2008/2009,"AGRICULTURE AND AGRI-FOOD","AGRICULTURE AND AGRI-FOOD","Agricultural subsidies","4603398 Manitoba Ltd Steinbach Man",900000
2008/2009,"AGRICULTURE AND AGRI-FOOD","AGRICULTURE AND AGRI-FOOD","Agricultural subsidies","71844 Manitoba Ltd Ethelbert Man",126414
2008/2009,"AGRICULTURE AND AGRI-FOOD","AGRICULTURE AND AGRI-FOOD","Agricultural subsidies","Agricorp Guelph Ont",39176274
2008/2009,"AGRICULTURE AND AGRI-FOOD","AGRICULTURE AND AGRI-FOOD","Agricultural subsidies","Agriculture Financial Services Corp Lacombe Alta",2070000
2008/2009,"AGRICULTURE AND AGRI-FOOD","AGRICULTURE AND AGRI-FOOD","Agricultural subsidies","B and M Farms Ltd Plum Coulee Man",127679
2008/2009,"AGRICULTURE AND AGRI-FOOD","AGRICULTURE AND AGRI-FOOD","Agricultural subsidies","Bacon Acres Inc Steinbach Man",173391
2008/2009,"AGRICULTURE AND AGRI-FOOD","AGRICULTURE AND AGRI-FOOD","Agricultural subsidies","Bft Weanlings Ltd Altona Man",160240
2008/2009,"AGRICULTURE AND AGRI-FOOD","AGRICULTURE AND AGRI-FOOD","Agricultural subsidies","Big Sky Farms Inc Humboldt Sask",1717502
2008/2009,"AGRICULTURE AND AGRI-FOOD","AGRICULTURE AND AGRI-FOOD","Agricultural subsidies","Bioniche Life Sciences Inc Belleville Ont",435324
2008/2009,"AGRICULTURE AND AGRI-FOOD","AGRICULTURE AND AGRI-FOOD","Agricultural subsidies","Blue Ribbon Swine Inc Randolph Man",378495
2008/2009,"AGRICULTURE AND AGRI-FOOD","AGRICULTURE AND AGRI-FOOD","Agricultural subsidies","Border Genetics Ltd Oak Bluff Man",232301
2008/2009,"AGRICULTURE AND AGRI-FOOD","AGRICULTURE AND AGRI-FOOD","Agricultural subsidies","Can Pro Ingredients Ltd Saskatoon Sask",3928249
2008/2009,"AGRICULTURE AND AGRI-FOOD","AGRICULTURE AND AGRI-FOOD","Agricultural subsidies","Canmark Family Farming Ltd Roblin Man",257072
2008/2009,"AGRICULTURE AND AGRI-FOOD","AGRICULTURE AND AGRI-FOOD","Agricultural subsidies","Castlewood Farms Ltd Morris Man",209804
2008/2009,"AGRICULTURE AND AGRI-FOOD","AGRICULTURE AND AGRI-FOOD","Agricultural subsidies","Chesterfield Stock Farm 1997 Ltd Mantario Sask",153846
2008/2009,"AGRICULTURE AND AGRI-FOOD","AGRICULTURE AND AGRI-FOOD","Agricultural subsidies","Colarome Inc St-Hubert Que",314877
2008/2009,"AGRICULTURE AND AGRI-FOOD","AGRICULTURE AND AGRI-FOOD","Agricultural subsidies","Cook Feeders Ltd Teulon Man",150281
2008/2009,"AGRICULTURE AND AGRI-FOOD","AGRICULTURE AND AGRI-FOOD","Agricultural subsidies","Crossline Farms Ltd Manitou Man",138126
2008/2009,"AGRICULTURE AND AGRI-FOOD","AGRICULTURE AND AGRI-FOOD","Agricultural subsidies","Cudworth Pork Investors Group Inc Cudworth Sask",344077
2008/2009,"AGRICULTURE AND AGRI-FOOD","AGRICULTURE AND AGRI-FOOD","Agricultural subsidies","Cypress Hutterian Brethren Maple Creek Sask",103414
2008/2009,"AGRICULTURE AND AGRI-FOOD","AGRICULTURE AND AGRI-FOOD","Agricultural subsidies","Devonridge Farms Inc Rivers Man",261886
2008/2009,"AGRICULTURE AND AGRI-FOOD","AGRICULTURE AND AGRI-FOOD","Agricultural subsidies","Dutch Barn Limited Partnership Cardale Man",191731
2008/2009,"AGRICULTURE AND AGRI-FOOD","AGRICULTURE AND AGRI-FOOD","Agricultural subsidies","Eggi's Farm Ltd Kleefeld Man",121178
2008/2009,"AGRICULTURE AND AGRI-FOOD","AGRICULTURE AND AGRI-FOOD","Agricultural subsidies","Elite Stock Farm Ltd Outlook Sask",171633
2008/2009,"AGRICULTURE AND AGRI-FOOD","AGRICULTURE AND AGRI-FOOD","Agricultural subsidies","Fairway Farms Ltd Naicam Sask",188161
2008/2009,"AGRICULTURE AND AGRI-FOOD","AGRICULTURE AND AGRI-FOOD","Agricultural subsidies","Ferme Nord-Est Limitee Penobsquis NB",288019
2008/2009,"AGRICULTURE AND AGRI-FOOD","AGRICULTURE AND AGRI-FOOD","Agricultural subsidies","Flexible Solutions Ltd Victoria BC",393797
2008/2009,"AGRICULTURE AND AGRI-FOOD","AGRICULTURE AND AGRI-FOOD","Agricultural subsidies","Fort Pitt Farms Inc Lloydminster Sask",347502
2008/2009,"AGRICULTURE AND AGRI-FOOD","AGRICULTURE AND AGRI-FOOD","Agricultural subsidies","Freeman Herbs Inc Beamsville Ont",164888
2008/2009,"AGRICULTURE AND AGRI-FOOD","AGRICULTURE AND AGRI-FOOD","Agricultural subsidies","Gemstone Farms Ltd Winnipeg Man",174828
2008/2009,"AGRICULTURE AND AGRI-FOOD","AGRICULTURE AND AGRI-FOOD","Agricultural subsidies","Golden Gilt Inc Steinbach Man",200715
2008/2009,"AGRICULTURE AND AGRI-FOOD","AGRICULTURE AND AGRI-FOOD","Agricultural subsidies","Heritage Hogs Ltd Niverville Man",106286
