FSCL_YR,MINC,MINE,DepartmentNumber-Numéro-de-Ministère,DEPT_EN_DESC,RCPNT_CLS_EN_DESC,RCPNT_NML_EN_DESC,TOT_CY_XPND_AMT,AGRG_PYMT_AMT
2010/2011,01,"Atlantic Canada Opportunities Agency",023,"Atlantic Canada Opportunities Agency","Contributions for the Atlantic Innovation Fund",,55680862,0
2010/2011,01,"Atlantic Canada Opportunities Agency",023,"Atlantic Canada Opportunities Agency","Contributions for the Atlantic Innovation Fund","Acadian Seaplants Limited Dartmouth NS",0,495583
2010/2011,01,"Atlantic Canada Opportunities Agency",023,"Atlantic Canada Opportunities Agency","Contributions for the Atlantic Innovation Fund","AMEC Americas Limited St John's NL",0,321544
2010/2011,01,"Atlantic Canada Opportunities Agency",023,"Atlantic Canada Opportunities Agency","Contributions for the Atlantic Innovation Fund","Aqua Bounty Canada Inc and Aqua Bounty Technologies Inc St John's NL",0,503562
2010/2011,01,"Atlantic Canada Opportunities Agency",023,"Atlantic Canada Opportunities Agency","Contributions for the Atlantic Innovation Fund","Atlantech Engineering & Associates Incorporated Charlottetown PEI",0,470195
2010/2011,01,"Atlantic Canada Opportunities Agency",023,"Atlantic Canada Opportunities Agency","Contributions for the Atlantic Innovation Fund","Atlantic Cancer Research Institute Moncton NB",0,1081654
2010/2011,01,"Atlantic Canada Opportunities Agency",023,"Atlantic Canada Opportunities Agency","Contributions for the Atlantic Innovation Fund","Atlantic Hydrogen Inc Fredericton NB",0,757074
2010/2011,01,"Atlantic Canada Opportunities Agency",023,"Atlantic Canada Opportunities Agency","Contributions for the Atlantic Innovation Fund","BioNova The Nova Scotia Biotechnology and Life Sciences Industry Association Halifax NS",0,242937
2010/2011,01,"Atlantic Canada Opportunities Agency",023,"Atlantic Canada Opportunities Agency","Contributions for the Atlantic Innovation Fund","BioVectra Inc Charlottetown PEI",0,838371
2010/2011,01,"Atlantic Canada Opportunities Agency",023,"Atlantic Canada Opportunities Agency","Contributions for the Atlantic Innovation Fund","Blue Drop Inc St John's NL",0,463789
2010/2011,01,"Atlantic Canada Opportunities Agency",023,"Atlantic Canada Opportunities Agency","Contributions for the Atlantic Innovation Fund","Camouflage Software Inc St John's NL",0,490556
2010/2011,01,"Atlantic Canada Opportunities Agency",023,"Atlantic Canada Opportunities Agency","Contributions for the Atlantic Innovation Fund","Cape Breton University Sydney NS",0,467043
2010/2011,01,"Atlantic Canada Opportunities Agency",023,"Atlantic Canada Opportunities Agency","Contributions for the Atlantic Innovation Fund","Capital District Health Authority Halifax NS",0,1040354
